ONLINE,,,,,,,,,,,,
Dataset,Strategy,Treino Inicial,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries/s,Query Rate,Number of Drifts
flags,QBC,10%,10%,0.2995918367346938,0.09142857142857143,0.6693141303141303,7.52438759803772,0,17,2.2593200813357117,0.09714285714285714,0
flags,NoQuery,20%,0%,0.30860805860805857,0.09615384615384616,0.6664226976726976,0.7487916946411133,0,0,0.0,0.0,0
flags,FullSupervision,20%,100%,0.271978021978022,0.08974358974358974,0.7030171217671216,8.989688396453857,0.078125,156,17.3532154976069,1.0,0
flags,Random,20%,10%,0.28937728937728935,0.10256410256410256,0.6876047563547563,1.566870927810669,0,8,5.105717298091749,0.05128205128205128,0
flags,Uncertainty,20%,10%,0.2921245421245421,0.1346153846153846,0.6867357179857179,3.559366226196289,0,15,4.214233390653292,0.09615384615384616,0
flags,QBC,20%,10%,0.28205128205128194,0.09615384615384616,0.6885662948162946,9.2955322265625,0.01171875,15,1.6136784462041525,0.09615384615384616,0
flags,NoQuery,30%,0%,0.3161764705882352,0.08823529411764706,0.659499140565317,1.2496609687805176,0,0,0.0,0.0,0
flags,FullSupervision,30%,100%,0.282563025210084,0.08088235294117647,0.690559746625923,9.162789821624756,0,136,14.842641013005833,1.0,0
flags,Random,30%,10%,0.2909663865546218,0.08823529411764706,0.6869066187080892,0.9776027202606201,0,9,9.206193695533786,0.0661764705882353,0
flags,Uncertainty,30%,10%,0.305672268907563,0.10294117647058823,0.6681242572786691,1.6808743476867676,0,13,7.73407007959322,0.09558823529411764,0
flags,QBC,30%,10%,0.2993697478991596,0.08823529411764706,0.6734543438587556,4.858759880065918,0,13,2.675579843600674,0.09558823529411764,0
flags,NoQuery,50%,0%,0.26509572901325473,0.10309278350515463,0.7097897234495173,1.0855932235717773,0.44140625,0,0.0,0.0,0
flags,FullSupervision,50%,100%,0.2724594992636229,0.08247422680412371,0.6989248151619285,9.59809136390686,358.3671875,97,10.106175938766704,1.0,0
flags,Random,50%,10%,0.2577319587628865,0.13402061855670103,0.7163542070758565,0.7090330123901367,0.1328125,9,12.693344093614446,0.09278350515463918,0
flags,Uncertainty,50%,10%,0.26656848306332837,0.10309278350515463,0.7114398774192587,1.0284080505371094,0,9,8.751390068659562,0.09278350515463918,0
flags,QBC,50%,10%,0.2768777614138438,0.09278350515463918,0.6956468216777495,7.814486503601074,483.4140625,9,1.151707152588032,0.09278350515463918,0
flags,NoQuery,80%,0%,0.29670329670329676,0.10256410256410256,0.6607280184203262,0.3214578628540039,0,0,0.0,0.0,0
flags,FullSupervision,80%,100%,0.27106227106227104,0.1282051282051282,0.6918895918895919,1.805180549621582,0,39,21.604487156797433,1.0,0
flags,Random,80%,10%,0.2930402930402931,0.10256410256410256,0.6659274486197563,0.2897167205810547,0,3,10.354942559004575,0.07692307692307693,0
flags,Uncertainty,80%,10%,0.27472527472527475,0.1282051282051282,0.6881043457966535,0.3830244541168213,0,3,7.8323980825647475,0.07692307692307693,0
flags,QBC,80%,10%,0.2783882783882784,0.1282051282051282,0.6874320124320126,2.653510332107544,0.1484375,3,1.1305778476533226,0.07692307692307693,0
emotions,NoQuery,0%,0%,0.3114109050028106,0.0,0.4051305636465839,3.208205461502075,0,0,0.0,0.0,0
emotions,FullSupervision,0%,100%,0.2248454187745925,0.21585160202360876,0.6714559470883248,64.78176379203796,0,593,9.153810660414328,1.0,0
emotions,Random,0%,10%,0.29904440697020795,0.12647554806070826,0.6093976989845454,13.569612264633179,0,59,4.347950320863123,0.09949409780775717,0
emotions,Uncertainty,0%,10%,0.2670039347948286,0.1467116357504216,0.6311451664318443,15.417537689208984,415.90625,59,3.826810816963021,0.09949409780775717,0
emotions,QBC,0%,10%,0.3114109050028106,0.0,0.4051305636465839,9.190887928009033,0,0,0.0,0.0,0
emotions,NoQuery,5%,0%,0.27570921985815605,0.11879432624113476,0.6134710197210198,5.831653118133545,0.00390625,0,0.0,0.0,0
emotions,FullSupervision,5%,100%,0.2222222222222222,0.22163120567375885,0.6770217371281201,72.8284363746643,0,564,7.744227777986531,1.0,0
emotions,Random,5%,10%,0.23906619385342792,0.1950354609929078,0.6778896487673083,10.765273809432983,0,56,5.20191134859296,0.09929078014184398,0
emotions,Uncertainty,5%,10%,0.25,0.1453900709219858,0.6535333067247961,23.619651317596436,0,56,2.3709071419814096,0.09929078014184398,0
