Dataset,Strategy,Budget,Train Fraction,Initial Train Size,Stream Size,Test Size,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Drift Points,Number of Drifts
yeast,QBC,0.1,0.5,103,103,2158,0.2399445214979195,0.0,0.5307066585534072,5.819840908050537,0,10,1.718260027721219,0.0970873786407767,[],0
yeast,NoQuery,,0.8,164,42,2158,0.11394557823129252,0.11904761904761904,0.5346889838556504,0.44913387298583984,0,0,0.0,0.0,[],0
yeast,FullSupervision,,0.8,164,42,2158,0.11224489795918367,0.11904761904761904,0.5575911474462198,9.039757490158081,0,42,4.64614233796946,1.0,[],0
yeast,Random,0.1,0.11190476190476191,0.10952380952380951,0.5362167100210578,1.7331514835357666,0.8,4.0,2.315141155303004,0.09523809523809523,0.0,[]
yeast,Uncertainty,0.1,0.8,164,42,2158,0.10884353741496598,0.09523809523809523,0.5440099715099714,2.341386556625366,8.0,4,1.708389410830644,0.09523809523809523,[],0
yeast,QBC,0.1,0.8,164,42,2158,0.10884353741496598,0.11904761904761904,0.5361514719848053,6.9683837890625,0,4,0.5740211964614171,0.09523809523809523,[],0
nus-wide,NoQuery,,0.05,789,14999,146810,0.28514281904507915,0.13194212947529835,0.4871292105824408,110.99981594085693,0.9375,0,0.0,0.0,"[223, 287, 1631, 1823, 2271, 2879, 2911, 3647, 3711, 4127, 4191, 4223, 4287, 4351, 4383, 5311, 5375, 5567, 6367, 6399, 6495, 6687, 11871]",23
nus-wide,FullSupervision,,0.05,789,14999,146810,0.13994266284418955,0.30195346356423763,0.6542644468006159,1652.1516757011414,4828.84375,14999,9.078464296345379,1.0,"[223, 255, 2911, 2975, 5407, 6367, 6399, 6431, 11231, 13087, 13983, 14303]",12
nus-wide,Random,0.1,0.17101902031564004,0.1481032068804587,0.549168172317049,304.2997844696045,604.9734375,1499.0,4.926319339817684,0.09993999599973331,13.4,[]
nus-wide,Uncertainty,0.1,0.05,789,14999,146810,0.17174478298553233,0.08633908927261817,0.520743436952851,395.20503854751587,765.1328125,1499,3.792967836415309,0.09993999599973331,"[223, 255, 2591, 2623, 5471, 5535, 5567, 6399, 6431, 6495, 11295]",11
nus-wide,QBC,0.1,0.05,789,14999,146810,0.19872753421656678,0.07500500033335555,0.5125716748674947,1046.8659892082214,4307.04296875,1499,1.431892921780506,0.09993999599973331,"[223, 255, 3007, 6719, 7487]",5
nus-wide,NoQuery,,0.1,1578,14210,146810,0.24467678697094597,0.08036593947923998,0.5043795683556416,118.03033685684204,1.15625,0,0.0,0.0,"[3679, 5823, 6079, 10399, 11071]",5
nus-wide,FullSupervision,,0.1,1578,14210,146810,0.13930833417110683,0.29641097818437717,0.6485654350731762,1566.1553897857666,4692.92578125,14210,9.073173768500569,1.0,"[2175, 2207, 4607, 4639, 5599, 5631, 10399, 10431, 10463, 13503]",10
nus-wide,Random,0.1,0.16418417613350755,0.15165376495425756,0.5600023568190353,289.7400144577026,747.3109375,1420.2,4.902434091898032,0.09994370161857849,14.0,[]
nus-wide,Uncertainty,0.1,0.1,1578,14210,146810,0.16962903387956166,0.08233638282899367,0.5220445199104595,376.75459837913513,997.40625,1421,3.7716858828356528,0.1,"[2143, 2175, 5663, 5727, 6623, 10463, 10495]",7
nus-wide,QBC,0.1,0.1,1578,14210,146810,0.2029858248718206,0.07311752287121745,0.5108322440324552,1011.0923414230347,3694.91015625,1421,1.4054107046247148,0.1,"[1823, 1855, 5823, 5855, 6047, 10495]",6
nus-wide,NoQuery,,0.2,3157,12631,146810,0.3281948041666195,0.03459741904837305,0.45322697099872306,100.34914016723633,0.05078125,0,0.0,0.0,"[2847, 3423, 3455, 4319, 5503, 5535, 6079, 8895, 8927]",9
